t-2,t-1,t-0,t+1 (prediction)
8400.0,8400.0,8200.0,8100.0
8400.0,8200.0,8100.0,8400.0
8200.0,8100.0,8400.0,8250.0
8100.0,8400.0,8250.0,8250.0
8400.0,8250.0,8250.0,8300.0
8250.0,8250.0,8300.0,8350.0
8250.0,8300.0,8350.0,8250.0
8300.0,8350.0,8250.0,8450.0
8350.0,8250.0,8450.0,8400.0
8250.0,8450.0,8400.0,8500.0
8450.0,8400.0,8500.0,8600.0
8400.0,8500.0,8600.0,8500.0
8500.0,8600.0,8500.0,8300.0
8600.0,8500.0,8300.0,8300.0
8500.0,8300.0,8300.0,8150.0
8300.0,8300.0,8150.0,8200.0
8300.0,8150.0,8200.0,7450.0
8150.0,8200.0,7450.0,7100.0
8200.0,7450.0,7100.0,7300.0
7450.0,7100.0,7300.0,7400.0
7100.0,7300.0,7400.0,7600.0
7300.0,7400.0,7600.0,7600.0
7400.0,7600.0,7600.0,7600.0
7600.0,7600.0,7600.0,7300.0
7600.0,7600.0,7300.0,7300.0
7600.0,7300.0,7300.0,6950.0
7300.0,7300.0,6950.0,7100.0
7300.0,6950.0,7100.0,7200.0
6950.0,7100.0,7200.0,7150.0
7100.0,7200.0,7150.0,7150.0
7200.0,7150.0,7150.0,7200.0
7150.0,7150.0,7200.0,7300.0
7150.0,7200.0,7300.0,7750.0
7200.0,7300.0,7750.0,7400.0
7300.0,7750.0,7400.0,7300.0
7750.0,7400.0,7300.0,7200.0
7400.0,7300.0,7200.0,7200.0
7300.0,7200.0,7200.0,7050.0
7200.0,7200.0,7050.0,7150.0
7200.0,7050.0,7150.0,7300.0
7050.0,7150.0,7300.0,7350.0
7150.0,7300.0,7350.0,7300.0
7300.0,7350.0,7300.0,7300.0
7350.0,7300.0,7300.0,7400.0
7300.0,7300.0,7400.0,7550.0
7300.0,7400.0,7550.0,7500.0
7400.0,7550.0,7500.0,7500.0
7550.0,7500.0,7500.0,7400.0
7500.0,7500.0,7400.0,7400.0
7500.0,7400.0,7400.0,7500.0
7400.0,7400.0,7500.0,7650.0
7400.0,7500.0,7650.0,7650.0
7500.0,7650.0,7650.0,7650.0
7650.0,7650.0,7650.0,7650.0
7650.0,7650.0,7650.0,7500.0
7650.0,7650.0,7500.0,7500.0
7650.0,7500.0,7500.0,7500.0
7500.0,7500.0,7500.0,7500.0
7500.0,7500.0,7500.0,7500.0
7500.0,7500.0,7500.0,7450.0
7500.0,7500.0,7450.0,7500.0
7500.0,7450.0,7500.0,7550.0
7450.0,7500.0,7550.0,7500.0
7500.0,7550.0,7500.0,7550.0
7550.0,7500.0,7550.0,7900.0
7500.0,7550.0,7900.0,8050.0
7550.0,7900.0,8050.0,8300.0
7900.0,8050.0,8300.0,8050.0
8050.0,8300.0,8050.0,8050.0
8300.0,8050.0,8050.0,8050.0
8050.0,8050.0,8050.0,8150.0
8050.0,8050.0,8150.0,8300.0
8050.0,8150.0,8300.0,8300.0
8150.0,8300.0,8300.0,8300.0
8300.0,8300.0,8300.0,8100.0
8300.0,8300.0,8100.0,7900.0
8300.0,8100.0,7900.0,7800.0
8100.0,7900.0,7800.0,7600.0
7900.0,7800.0,7600.0,7400.0
7800.0,7600.0,7400.0,7250.0
7600.0,7400.0,7250.0,7450.0
7400.0,7250.0,7450.0,7400.0
7250.0,7450.0,7400.0,7450.0
7450.0,7400.0,7450.0,7900.0
7400.0,7450.0,7900.0,7800.0
7450.0,7900.0,7800.0,7800.0
7900.0,7800.0,7800.0,7750.0
7800.0,7800.0,7750.0,7750.0
7800.0,7750.0,7750.0,7700.0
7750.0,7750.0,7700.0,7600.0
7750.0,7700.0,7600.0,7500.0
7700.0,7600.0,7500.0,7400.0
7600.0,7500.0,7400.0,7350.0
7500.0,7400.0,7350.0,7600.0
7400.0,7350.0,7600.0,7400.0
7350.0,7600.0,7400.0,7400.0
7600.0,7400.0,7400.0,7350.0
7400.0,7400.0,7350.0,7400.0
7400.0,7350.0,7400.0,7350.0
7350.0,7400.0,7350.0,7400.0
7400.0,7350.0,7400.0,7350.0
7350.0,7400.0,7350.0,7300.0
7400.0,7350.0,7300.0,7500.0
7350.0,7300.0,7500.0,7550.0
7300.0,7500.0,7550.0,7550.0
7500.0,7550.0,7550.0,7550.0
7550.0,7550.0,7550.0,7650.0
7550.0,7550.0,7650.0,7650.0
7550.0,7650.0,7650.0,7650.0
7650.0,7650.0,7650.0,7550.0
7650.0,7650.0,7550.0,7600.0
7650.0,7550.0,7600.0,7600.0
7550.0,7600.0,7600.0,7500.0
7600.0,7600.0,7500.0,7500.0
7600.0,7500.0,7500.0,7500.0
7500.0,7500.0,7500.0,7550.0
7500.0,7500.0,7550.0,7550.0
7500.0,7550.0,7550.0,7550.0
7550.0,7550.0,7550.0,7550.0
7550.0,7550.0,7550.0,7500.0
7550.0,7550.0,7500.0,7450.0
7550.0,7500.0,7450.0,7400.0
7500.0,7450.0,7400.0,7400.0
7450.0,7400.0,7400.0,7400.0
7400.0,7400.0,7400.0,7400.0
7400.0,7400.0,7400.0,7450.0
7400.0,7400.0,7450.0,7400.0
7400.0,7450.0,7400.0,7400.0
7450.0,7400.0,7400.0,7400.0
7400.0,7400.0,7400.0,7400.0
7400.0,7400.0,7400.0,7500.0
7400.0,7400.0,7500.0,7500.0
7400.0,7500.0,7500.0,7450.0
7500.0,7500.0,7450.0,7500.0
7500.0,7450.0,7500.0,7550.0
7450.0,7500.0,7550.0,7500.0
7500.0,7550.0,7500.0,7500.0
7550.0,7500.0,7500.0,7400.0
7500.0,7500.0,7400.0,7400.0
